报告ID,死亡人数,受伤人数,经济损失_万元,原因分析文本,Severity_Level
“12·23”火灾事故调查报告,1,0,8.5,事故直接原因为李龙前卧室煤火炉用火不慎引燃周边可燃物。主要灾害成因包括：群众防火意识低（起火建筑内易燃可燃物多，生活用火安全防范意识差，老年人自我防范能力不足，死亡人员在醉酒状态下将火炉置于床铺旁并睡觉）；群防群治基础差（水东镇消防工作站日常消防安全排查不深不细，对重点人员监管流于形式，老包村自建房排查治理弄虚作假，消防安全宣传提示不到位）；以及落实管理责任差（水东镇消防工作站负责人职责不清，对辖区消防安全底数不明，村干部未落实消防安全责任）。,0
“12?22”较大火灾事故调查报告,4,0,450,火灾直接原因为第3间房东北角取暖炉穿墙处的高温烟管引燃EPS夹芯板。火灾发生后，EPS夹芯板燃烧迅速并产生大量有毒有害气体，加上居住人员消防安全常识和疏散逃生技能缺乏，以及第3间房加装防盗网阻碍逃生，导致火灾后果扩大。间接原因包括龙口市龙港街道兴隆庄村、龙港街道办事处、市住房和城乡建设管理局、市自然资源和规划局、市综合行政执法局、市消防救援大队、市公安局以及龙口市人民政府等多个部门和单位，在落实违法建设治理、易燃可燃彩钢板建筑排查、建筑工程规划和施工许可监管、日常消防监督检查、消防宣传教育以及督促职能部门履行消防监管职责等方面存在履行职责不到位、排查不力、监督失察、工作不深入细致、存在盲区死角等问题，未能及时发现并查处涉事建筑的违法建设和使用易燃可燃材料的长期违法行为。,1
“1·25”望谟县新屯街道牛角村许秀敏住宅火灾事故调查报告,1,0,3.71735,起火原因为电线短路引发火灾。间接原因包括：新屯街道办事处消防工作存在基础理论不掌握、基层基础建设薄弱、消防安全工作不重视等问题；望谟少数民族木结构村寨沿用“老虎灶”、火塘、火灶及“烟熏腊肉”习惯，埋下重大火灾隐患，且对冬季火灾防控部署和排查不足；对“老、弱、病、残、幼、酒、疯”等重点人员的消防宣传工作实效性不足，消防安全意识提醒不到位。,0
“1?20”天然气管道爆炸着火事故,10,50,995,直接原因：Ф720管材螺旋焊缝存在缺陷，在一定内压作用下管道出现裂纹，导致天然气大量泄漏。泄漏点上方刚好有一颗白杨树，由于根系发育使土质变得较为疏松，泄漏的天然气在根系发育的树兜下聚集，加之泄漏的天然气携带硫化亚铁粉末从裂缝中喷射出来遇空气氧化自燃，引发泄漏天然气爆炸（系管外爆炸），同时造成管道撕裂。因第一次爆炸后的猛烈燃烧，使管内天然气产生相对负压，造成部分高热空气迅速回流管内与天然气混合，引发第二次爆炸，约3分钟后引发第三次爆炸（爆炸机理与第二次爆炸相同）。间接原因：1、管道运行时间长，管材疲劳受损，管线先天存在较大缺陷，且运行时间较长，流向调配、管输压力频繁变化，导致管道局部产生金属疲劳。2、管道建设时期，防腐工艺落后，管道未能得到有效保护，外层腐蚀严重。3、管道内壁也受到腐蚀，曾在相当长时期内输送低含硫湿气，管线处于较强内腐蚀环境，导致管内发生腐蚀，伴有硫化亚铁粉末产生。4、第一爆点上方白杨树根系发育使土质变得较为疏松，为天然气泄漏并在管外聚集爆炸提供了条件。同时管道附近还有其他根深植物。5、富加输气站场及进、出管道两侧存在较多建构筑物，且场站周围建构筑物过密，以致逃生通道狭窄，人员不能及时安全撤离。6、员工、家属和附近居民在逃生过程中恰遇第三爆炸点爆炸。7、油气田分公司对基层单位的安全生产管理工作存在不足，特别是输气管理处对役龄较长的输气管线存在的安全隐患重视不够，管道巡查保护不力，对仁寿富加输气站周围建筑密集的问题未能及时发现并予以整改。8、仁寿县人民政府没有充分认识到天然气管线周围民用建构筑物过多已经对管线的安全运行造成隐患，对小集镇规划、建设审批的指导和督促检查不力，仁寿县规划和建设局对小城镇建设管理工作重视不够，对有关规划和建设项目的审批把关不严，致使富加输气站周边民用建构筑物过多。管理原因：1、本次威青线大修工程投产方案采用天然气直接置换空气方式，严重违反了《天然气管道运行管理规范》SY/T5922—2004标准的规定，并且没有按规定在置换结束后对排放口排出气体进行检测。2、施工组织方案不落实，在投产作业过程中，没有到现场对工程技术质量和安全环保检查把关。3、西南油气田修建富加站值班宿舍时，未严格执行《石油天然气管道保护条例》及有关规范的规定，在管线、场站的安全距离内建房，并将场站逃生通道选择在管道上方，且违反有关规定允许员工家属住在场站值班宿舍。4、管道巡护责任不落实，管理人员对巡线工执行管道巡护操作规程的情况监督检查不力，致使管道上方和管道附近深根植物长期存在，没有及时处置。,2
“1?25” 高层住宅阳台杂物火灾事故调查报告,0,0,3.2,起火原因为2201室阳台长期堆放易燃杂物，洗衣机电源线私拉乱接且老化破损，发生短路产生火花，引燃周边纸箱等杂物，进而蔓延至外墙保温层。主要原因包括居民安全意识淡薄，未遵守高层住宅消防安全规定，违规堆放易燃杂物，私拉乱接电气线路，未定期检查电器设备；小区物业监管存在疏漏，未落实消防安全巡查制度，未及时发现并制止违规行为，且未开展专项宣传；初期应急处置存在不足，未优先移除阳台易燃杂物，导致火势蔓延，物业公司延误灭火时机。,0
“2016-10-31”谯城区较大火灾事故调查报告,5,0,40,直接原因：该起火灾的起火原因不能排除电气故障引发火灾的可能。因施救不当，导致人员伤亡。间接原因：1. 谯城区邢南圆通生活馆安全生产主体责任不落实，日常管理混乱，疏于防范，对家庭成员安全教育培训不够，该建筑物在遇火情的情况下，家庭成员应急处置不当。2. 王振华安全意识淡薄，建筑物内用电线路乱拉乱接，特别是在该建筑物遇火情的情况下，应急处置不当。3. 亳州市谯城区华佗镇小奈村开展家庭式商铺（作坊）消防安全专项整治工作不到位。4. 亳州市谯城区华佗镇人民政府督促、检查、指导开展家庭式商铺（作坊）消防安全专项整治工作不到位。5. 亳州市谯城区华佗镇派出所组织开展家庭式商铺（作坊）消防安全专项整治工作存在缺失，对辖区的火灾隐患排查整治力度不够。6. 亳州市谯城区公安消防大队督促、指导有关单位和个人落实防火责任制、及时消除火灾隐患工作不到位。7. 亳州市谯城区人民政府督促、检查、指导督促开展家庭式商铺（作坊）消防安全专项整治工作，依法履行监管职责不到位。,1
“2·25”森林火灾事故调查报告,0,0,2.582,森林火灾是犯罪嫌疑人招某违反罗定市人民政府禁火令，擅自在高朗山场山边荒地除草烧杂不慎引发。间接原因包括：附城街道领导干部思想认识不到位、责任意识不强，火灾风险形势认识不足，分析研判不到位，宣传教育不力，未能有效管控野外用火；星光村委防火工作重视不够，火源管控不力，未合理安排巡逻值守，应急处置不及时。,0
“2·6”永定区山城上品小区火灾事故调查报告,1,0,0.8,起火原因为烟头引起床褥和床单阴燃引发火灾。此外，相关基层单位存在消防安全责任落实不到位的问题，包括大庸桥街道办事处消安委实体化运行未完全落实、消防器材配备不足、消防宣传工作效果有限；大庸桥居委会消防安全宣传提示覆盖面不广、效果不明显，部分群众对基本消防常识不了解，村志愿消防队消防器材配备不足。,0
“2?28” 南充市南部县定水镇乡镇养老院火灾事故调查报告,0,2,4.2,起火原因为乡镇养老院老人违规使用“三无”电暖器，且将易燃物品覆盖在取暖设备上，设备温控故障过热引燃毛毯，引发火灾。灾害成因包括养老院管理严重缺位（未办理消防备案，违规使用民用住宅改造；采购“三无”取暖设备；未建立夜间巡查制度，护工应急处置能力不足；未组织老人开展疏散演练），老人安全意识薄弱（违规在电暖器上覆盖毛毯且未关闭电源便入睡；未接受消防安全培训），以及基层监管不足（民政局未发现养老院未备案、使用“三无”设备等问题；定水镇政府未督促养老院完善消防设施及应急制度）。,0
“6.28”一般火灾事故调查报告,2,0,69.6371,起火原因为电气线路故障。灾害成因包括：1.电气线路火灾隐患大，经营者未聘请专业电工规范敷设电气线路，场所内长期超负荷用电，电表的出线存在过负荷造成的绝缘内焦脱落现象，且用电行为不规范。2.场所安全条件差，商铺内有楼梯直通二层住宿部分，未进行防火分隔，存在“三合一”问题，且商铺和二层住宿部分存放大量安全帽、雨衣、机油、轮胎、摩托配件等，火灾荷载大。3.经营者安全意识薄弱，二层住宿部分通向单元式住宅楼梯的入户门长期反锁，且门口堆放货物阻塞疏散通道，被困人员缺乏自救逃生能力，未能采取正确逃生方法。4.属地政府监管不到位，东岭镇人民政府对“九小场所”、“三合一”场所消防安全治理工作推进不力，工作措施不具体；东岭镇大坵村委会未认真落实消防安全网格化管理工作，未能有效发现“三合一”问题；东岭派出所开展辖区日常消防监督检查和消防宣传教育不扎实，未跟踪检查到位。,0
“6·7”安岳县岳阳镇慈云村13组亡人火灾事故调查情况的报告,1,0,28.433,直接原因：该起事故的起火原因为不排除电气故障引发安岳县岳阳镇慈云村13组刘某房屋东北侧卧室西南侧墙面处可燃物燃烧蔓延成灾。间接原因：1.彭某长期瘫痪在床，没有自救能力。2.起火期间刘某上集市购物，彭某无人监护。,0
“光明里片区”“12·30”居民楼较大火灾事故调查报告,4,6,650,直接原因：楼梯间内私拉乱接的电气线路故障引燃周边堆放的可燃杂物。间接原因：基层消防安全治理失效（街道办事处、社区居委会对老旧小区存在的“飞线充电”、楼道堆放杂物等隐患未能采取有效措施；公安派出所履行消防监督检查职责不力；住建部门对老旧小区改造中的消防安全内容推进缓慢）。居民消防安全意识极度薄弱（长期占用消防通道，私拉电线）。建筑先天消防安全条件不足（缺乏必要的消防设施，只有一个疏散楼梯）。,1
七星关区市东街道“11?22”火灾事故调查报告,1,0,25,木结构房屋卧室电气线路故障引燃周围可燃物导致；房屋内堆放大量可燃易燃物品火灾荷载大；房屋内电气线路私拉乱接，使用时间长未定期检查更换；自建房排查整治不到位；火灾发生后周围人员未能第一时间报警处置，造成火势蔓延扩大。,0
东莞中堂东向村滨河东路13 号“7·7”一般火灾事故调查报告,0,3,632,经调查认定，东莞中堂东向村滨河东路 13 号“7·7”一般火灾事故是一起操作人员违规作业，使用未经资质单位设计、不满足安全控制要求的危险化学品生产装置，非法生产危险化学品过程中引发的生产经营性火灾事故。,0
东莞大朗高英村毛织加工小作坊“12·8”一般火灾事故调查报告,2,3,75,直接原因为刘小毛作坊中部过道放置的电脑针织横机故障发热引燃周围可燃物。间接原因包括经营者消防安全主体责任不落实，违规居住并收住外来人员在小作坊内，未及时发现并处置火情；属地村和有关部门消防安全监管职责落实不到位。事故蔓延扩大原因为起火8号电脑针织横机设置在生活区域疏散通道上，背靠木板隔墙。,0
东莞市中堂镇2022 年“9·12”一般火灾事故调查报告,2,0,18.7582,"事故直接原因：经调查，认定起火时间为 2022 年 9 月 12 日 20 时 58 分
许，起火部位为东莞市中堂镇东泊社区新村二街“李开心废
品回收站”西北侧（距离西墙约 2 米，距离北墙约 5 米），
认定起火原因为“李开心废品回收站”西北侧处遗留火源引
燃附近的废品泡沫箱等可燃物起火蔓延成灾。
事故间接原因：李开心消防安全主体责任不落实。李开心私自搭建并
坊应按建筑面积每75㎡配备4kgABC手提式干粉灭火器，每个配置点灭火器数量少于2具。",0
东莞市大岭山镇“9.4”较大火灾事故调查报告,3,3,1600.1228,直接原因为创嘉家具公司生产厂房首层东面外墙电线槽内生产用电的电线短路，喷溅高温熔珠引燃电线槽下方堆放的废弃海绵等易燃材料引发火灾。同时，起火建筑的消防设施（火灾自动报警系统、湿式自动喷水灭火系统）因日常检修维护不到位，在火灾发生时未响应动作，未能及时扑救初期火灾，导致火势失控蔓延。事故暴露出创嘉家具公司未履行消防安全主体责任，包括租赁未经消防验收建筑、未落实消防安全责任制、消防设施维护不足、防火检查缺失、违规堆放易燃物、消防演练和员工培训不到位等问题。玩木家具公司和鸿意建材公司存在违章搭建和堆放易燃物的问题，影响逃生和救援。此外，大岭山镇各级政府和监管部门（如消防安全委员会办公室、消防大队、火灾隐患整治办公室、城管分局、网格管理中心、杨屋村委会）在消防监管、隐患排查、违法建设查处、消防安全教育和网格化管理方面存在监管缺失和失职。,1
东莞市清溪镇“9·2”较大火灾事故调查报告,7,5,1048.39,该事故是一起由于企业消防安全主体责任不落实，违章动火作业而引发的生产安全责任事故。直接原因是东莞市桂顺再生资源回收有限公司雇用无特种作业操作证人员，违规使用射吸式割炬（气割枪）在对金属管道吊架进行切割作业时，割炬火焰引燃聚氨酯泡沫保温材料，并发生轰燃蔓延成灾。间接原因是涉事企业未落实消防安全责任制，风险意识薄弱，安全教育缺失，安全管理流于形式；业主单位履行定期安全检查责任不到位；相关单位存在未对施工方进行统一协调管理、现场消防安全管理和教育培训缺失、改变厂房使用用途后未取得消防验收及备案、违规出借公司资质及营业执照等问题；以及东莞市清溪镇委镇政府、市消防救援支队等相关职能部门和清溪镇长山头村委会在履行安全监管职责方面均存在一定的问题。,1
东莞石排广东嘉拓新能源科技有限公司东莞分公司“5·11”一般火灾事故调查报告,0,0,792.17,起火原因为堆放的聚合物锂离子电池热失控起火。火灾蔓延扩大的原因为现场存放大量生产原材料导致火灾荷载大、生产布局不合理存在安全隐患、企业应急处置不够科学措施不到位。事故根本原因为企业消防安全主体责任不落实，主要表现为未制定消防安全制度、操作规程，未设置消防责任人及管理人员导致管理能力不足，消防演练培训不到位，火灾初期员工采取措施不当，以及未按法律法规和技术标准设置消防车通道、防火分区、防火间距和排烟设施等。此外，出租方违法建设并出租，未签订专门安全生产管理协议，履行定期安全检查责任不到位；施工方涉嫌提供虚假建设工程消防设计、验收材料。属地监管部门及村委会在履行安全监管职责方面存在问题。,0
临沂兰山区山东天汇柒彩包装制品有限公司“5·6”一般火灾事故调查报告,0,0,95.29,直接原因：塑料造粒机开启预热后，因机筒过热导致电气线路故障引燃周围可燃物；工人冯某某违章操作，擅自离开岗位，致使发生火灾后不能第一时间发现和处置，造成火情扩大、蔓延。间接原因：出租人林某某履行消防安全职责不到位，未明确各方消防安全责任，未督促承租人加强消防安全管理，厂房不符合消防安全规定，消防设施器材缺失，电气线路敷设混乱。承租人蔡某某履行安全主体责任不到位，未制定消防安全制度和操作规程，现场管理混乱，生产与储存未分离，非法从事生产经营活动。任家庄村委会落实防火检查职责不到位，组织防火检查流于形式。半程镇政府落实属地管理责任不到位，对辖区内企业监督检查不足。,0
临洮县“8·15”洮阳镇红星路沙梁一般火灾事故调查报告,0,0,63.7792,此次火灾事故的直接原因是当事人王昀在抽取甲醇燃料的过程中，由于甲醇燃料泄漏流淌至地面上的通电插线板引发火灾，当事人现场处置不当，违规用水灭火致使火势蔓延扩大。间接原因包括：当事人王昀法律意识淡薄，非法存储、运送、经营甲醇燃料，安全知识欠缺，日常管理不到位，现场未配备任何消防器材，也未使用防爆电器；房主高小军安全意识淡薄，出租房屋时未签订合同，未约定消防安全管理责任，未对承租人存放物品进行定期查看，也未向辖区派出所报备登记；洮阳镇对安全生产百日集中整治工作重视不够，安排部署不到位，开展不力，台账建立流于形式，隐患排查敷衍应付，对相关文件未学习转发和安排部署，对出租房等场所无具体排查的隐患问题台账，消防安全整治工作不实不细；洮阳镇西街村对辖区内安全隐患排查不全面、不认真、不细致，对王昀租用商铺违法违规存储甲醇燃料的隐患未能及时发现，对消防安全知识宣传不深入；县公安局城关派出所日常监督管理不深入、不细致，消防安全隐患排查不全面，未对出租屋信息进行登记，对于此次发生火灾的出租房非法存储甲醇燃料的情况未能及时发现。,0
临渭区海兴城房屋“5·16”火灾事故调查报告,1,0,0,直接原因为手机充电使用过程中漏电故障导致内燃引燃可燃物蔓延成灾。间接原因及火灾发展蔓延因素包括：1. 设备存在隐患故障，起火手机多次维修，且使用非原装充电器，充电时常发烫。2. 死者自救逃生能力较弱，其处于月子期，身体虚弱。3. 安全意识不足，死者有在床上充电时使用手机的习惯，手机、插线板、充电器长期放置于床上，不利于手机散热，且使用非原装充电器导致手机电池质量降低。4. 主卧内衣柜、床头柜、床、被褥、抱枕、衣物等可燃物较多，加速了火灾蔓延并产生大量有毒有害烟气。综合认定火灾性质为居民缺失自救逃生能力，卧床使用手机充电期间机器故障导致起火造成的一起亡人火灾事故。,0
义乌市何宅村“12·27”较大火灾事故调查报告,3,0,0,"直接原因：莫秀竹使用高温高热电取暖器期间，未尽到专人看管职责，使用后未及时切断电源，电取暖器工作状态下引燃覆盖的可燃物引起火灾。
间接原因：
1. 房屋出租人华祝虎消防安全意识淡薄，未履行房屋出租人责任，所出租房屋不符合《浙江省居住出租房消防安全基本要求》，存在严重消防安全隐患。
2. 义乌市廿三里街道何宅村委会未认真开展出租房消防安全整治工作，消防安全责任未落实，出租房消防安全隐患排查整治不彻底。
3. 义乌市公安局廿三里派出所作为出租房和流动人口登记管理的主管单位，未按照管理规定如实登记管理，存在出租房信息不全、流动人口漏登。
4. 义乌市廿三里街道办事处开展出租房整治工作不力，未有效督促落实消防安全责任，出租房消防安全隐患排查整治不彻底，出租人教育培训工作不到位。
5. 义乌市公安消防支队作为出租房消防安全综合整治工作主管部门，未有效督促廿三里街道办事处做好月度整治上报工作，对基层工作中存在的问题指导督促整改不力。",1
乌兰察布市四子王旗文化路乌兰小区3期“12·21”火灾事故调查报告,2,1,11.0904,直接原因：5单元一层楼道北侧单元门处停放的“建设牌”电动轻便摩托车车把处电气线路故障引燃绝缘层及车身可燃物引发火灾。间接原因：1.电动轻便摩托车违规在楼道停放，发生故障引发火灾；2.楼道内停放大量车辆，增大火灾载荷，造成火灾迅速蔓延并产生高温热辐射和有毒气体，影响人员疏散逃生；3.消防宣传培训不到位，居民逃生自救措施不当；4.物业消防安全管理不到位，楼道长期存在消防安全隐患未消除，扑救初期火灾不力；5.电动自行车停放、充电配套设施不完善，电动车停放在楼道内充电。,0
乐山市市中区海棠街道滨江壹号小区 “1?25” 高层住宅阳台杂物火灾事故调查报告,0,0,3.2,起火原因为2201室阳台长期堆放易燃杂物，洗衣机电源线私拉乱接且老化破损，发生短路产生火花，引燃周边纸箱等杂物，进而蔓延至外墙保温层，引发火灾。此外，居民安全意识淡薄，在阳台违规堆放大量易燃杂物，私拉乱接电气线路，未定期检查洗衣机等电器设备状态；小区物业公司监管存在疏漏，未落实高层住宅消防安全巡查制度，未及时发现阳台违规堆放杂物及私拉线路问题，也未在小区内开展阳台消防安全专项宣传；应急处置存在不足，初期灭火时未优先移除阳台易燃杂物，物业公司微型消防站人员到场后未第一时间联系消防部门确认火势情况，延误灭火时机。,0
乐山市沙湾区福禄镇农科村 “6?10” 木材加工场火灾事故调查报告,0,1,26.5,起火原因为木材加工场1号棚屋加工区内私拉乱接的非国标电线接头处氧化腐蚀，产生电弧打火，同时带锯机电机老化漏电加剧火情，引燃周边散落的木屑，火焰迅速蔓延至原料区原木堆及半成品区板材，引发火灾。事故深层次问题包括：加工场未经审批违规建设运营，电气安全隐患突出（非国标电线、私拉乱接、设备老化漏电），消防设施缺失（灭火器过期失效、出入口受限），可燃物管理无序（木屑堆积、堆垛过高且间距不足）；基层监管责任落实不到位（村级排查流于形式、镇级监管存在盲区、部门协同不足）；以及从业人员安全意识淡薄（负责人未接受安全培训、未制定管理制度及应急预案，工人应急能力不足）。,0
乐山市金口河区永和镇胜利村 “12?03” 小型矿石破碎点火灾事故调查报告,0,0,9.6,技术检测表明，破碎机电机电源线为非标产品，长期超负荷运行导致接头处绝缘层老化破损，发生短路打火，引燃地面渗漏的润滑油，进而蔓延至润滑油桶，引发火灾。原因包括：运营管理混乱，陈明未定期维护破碎设备线路，设备长期超负荷运行；润滑油桶未单独隔离存放，与电气设备未保持安全距离，未配备消防设施，未及时清理设备渗漏的润滑油。基层监管缺失，永和镇胜利村村委会未将矿石破碎点纳入“散乱污”场所排查；镇市场监督管理所未查处其无照经营行为，镇应急管理办未针对矿石加工场所开展专项安全检查。安全意识不足，陈明未接受消防安全培训，不清楚润滑油易燃特性及设备超负荷运行风险，初期灭火未优先转移未燃烧润滑油桶。,0
乐平市浯口李乐梅服装加工厂“8.13”一般火灾事故调查报告,2,0,428.0973,直接原因：8号织袜机阀盒内电气故障引燃周边长期未清理的纤维融团继而蔓延成灾。间接原因：1. 乐平市浯口李乐梅服装加工厂消防安全主体责任落实不到位，包括违规住人、安全出口和疏散通道不足、违规搭建彩钢厂棚、消防设施配备不齐全、安全生产规章制度不健全、隐患排查治理不到位、员工消防安全意识淡薄以及起火建筑内火灾荷载大。2. 地方政府及其有关部门监管不到位，包括乐平市浯口镇人民政府打击“两违”工作不力、浯口镇派出所消防监督管理职责不到位、原乐平市打击“两违”和矿产资源违法行为行政执法指挥中心及相关部门责任落实不到位、浯口镇应急办对“九小”场所安全整治工作落实不力、浯口镇住建岗和梅溪村村委会经营性自建房整治工作落实不到位。,0
